Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /analytics/department/{dept},2,0,12.2569469967857,14.659061998827383,12.2569469967857,17.061177000869066,123.0,0.033927908242547836,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,GET /analytics/summary,5,5,9,9.369587800756563,6.915005003975239,12.065757997334003,113.0,0.0848197706063696,0.0848197706063696,9,10,10,12,12,12,12,12,12,12,12
GET,GET /questionnaires/active,34,0,12,13.346130470274469,8.07000199711183,23.880305998318363,0.0,0.5767744401233132,0.0,12,13,14,18,22,23,24,24,24,24,24
GET,GET /surveys [by user],13,13,10,10.25968169303199,6.745461003447417,17.460849005146883,112.0,0.22053140357656095,0.22053140357656095,10,10,11,11,14,17,17,17,17,17,17
GET,GET /surveys/pending,12,0,10,13.684995750130232,7.972667001013178,42.17755400168244,111.0,0.20356744945528704,0.0,10,11,18,18,18,42,42,42,42,42,42
POST,POST /surveys [healthy],135,0,19,20.47439549604422,12.131597999541555,73.1328379988554,296.0,2.290133806371979,0.0,19,22,23,24,26,32,36,38,73,73,73
POST,POST /surveys [symptoms],17,0,20,19.082354765594253,13.720028997340705,25.466222999966703,295.0,0.2883872200616566,0.0,20,21,21,21,23,25,25,25,25,25,25
POST,POST /surveys/{id}/validate,8,0,14,16.777905000708415,10.678772996470798,25.06661100051133,149.0,0.13571163297019134,0.0,16,21,24,24,25,25,25,25,25,25,25
,Aggregated,226,18,17,17.921225544196847,6.745461003447417,73.1328379988554,220.20353982300884,3.833853631407906,0.30535117418293056,17,20,22,23,25,26,33,38,73,73,73
